Rg;Frequency;Test Level;Sensor Level;Trd Rev Pwr;Gen Out;e-field (dBµV/m);Strommessung F55;Modulation;Comment
---;MHz;V;dBµV;dBm;dBm;dBµV;dBµA;;---
1;244.8674862;1.011579;107.6858;14.75753;-21.3;122.5724;92.32214;"OFF";
1;247.3161611;1.01158;108.2646;15.37002;-21.1;123.2431;92.9222;"OFF";
1;249.7893227;1.011579;108.0482;14.67348;-20.8;123.1202;92.21323;"OFF";
1;252.2872159;1.011579;107.2584;14.07741;-20.8;122.412;91.60473;"OFF";
1;254.8100881;1.011579;107.2078;14.24202;-20.8;122.4418;91.7569;"OFF";
1;257.3581890;1.01158;106.1758;13.66682;-20.9;121.3732;91.16927;"OFF";
1;259.9317709;1.01158;105.4166;14.40105;-21.1;120.5678;91.89108;"OFF";
1;262.5310886;1.011579;103.7633;13.51483;-21.3;118.8676;91.03068;"OFF";
1;265.1563995;1.01158;103.1616;13.06816;-21.4;118.2213;90.61086;"OFF";
1;267.8079634;1.011579;103.1232;12.67109;-20.9;118.1775;90.24064;"OFF";
1;270.4860431;1.011579;102.0581;10.90387;-20.7;117.1169;88.50027;"OFF";
1;273.1909035;1.011579;102.0641;10.30631;-20.7;117.1717;87.92957;"OFF";
1;275.9228125;1.01158;100.3864;8.788521;-21.1;115.5562;86.43864;"OFF";
1;278.6820407;1.01158;96.44292;6.990398;-21.5;111.701;84.66737;"OFF";
1;281.4688611;1.011579;93.8102;4.502331;-21.2;109.1516;82.21478;"OFF";
1;284.2835497;1.011579;99.51163;6.314499;-20.7;114.9317;84.07021;"OFF";
1;287.1263852;1.011579;100.8553;9.916836;-20.3;116.3381;87.71582;"OFF";
1;289.9976490;1.011579;103.3207;15.01924;-20.3;118.8607;92.8615;"OFF";
1;292.8976255;1.01158;100.6772;16.42202;-20.4;116.2521;94.30754;"OFF";
1;295.8266018;1.01158;94.98603;16.68527;-20.4;110.5944;94.61405;"OFF";
1;298.7848678;1.011579;89.23689;16.23937;-20.3;104.8748;94.21142;"OFF";
1;300.0000000;1.011579;86.69958;15.46122;-20.2;102.3496;93.45092;"OFF";
